Unique ID,Post,Labels Set
687,"यह बिल्कुल असत्य है। आमिर खान काम के लिए यात्रा कर रहे हैं, इसलिए दावा किए गए बैठक की कोई संभावना नहीं हो सकती है।",fake
688,"भारत और चीन के बीच चुसूल में ब्रिगेड कमांडर स्तर की बैठक जारी

भारतीय सेना ने पैंगोंग त्सो झील के दक्षिणी छोर पर चीनी सैनिकों को घुसने से रोका 

#Ladakh @DefenceMinIndia https://t.co/YTC6Xz6a1m",non-hostile
689,"@ReallySwara साले चरसी एक दूजे को बचाने को मैदान में कूदे तो है
पर रोजाना एक का कांड हो जाता है 🤣🤣
#रसभरी
#बलात्कारी
#rapist","hate,offensive"
690,"RT @Komal_433: प्राइवेट नौकरी करने वाले लड़के को अपने लिये लड़की ढूँढना

6 गेंद पर 36 रन बनाने से कम नहीं !!
😂😂🤣🤣
इसलिए निजीकरण का विरोध करो",hate
691,"#ReportForSSR |  सुशांत केस : NCB ने मुंबई पुलिस को सौंपी 18 लोगों की सूची, मुंबई में है इनका ड्रग नेटवर्क https://t.co/CarGEWTgqT",non-hostile
692,"आप सभी के सहयोग से मेरा आत्मबल और बढ़ा है और मैं अपने को पहले से कई ज्यादा मजबूत महसूस कर रही हूँ, आप सभी का शुक्रिया।",fake
693,"विकास को मुद्दा बना कर मोदी सरकार ने विकास के पतन की नींव रख दी थी, मुद्दा जनता की भूख है, रोजगार है, अर्थव्यवस्था है, अच्छी स्वास्थ्य व्यवस्थायें है, जनता का हित है।
विकास जुमला नहीं, एक प्रक्रिया है।
जो सब के साथ चलने से पूर्ण होती है।
मुद्दे वही के वहीं है और  ",hate
694,"#कौशांबी में संजय सिंह पर दर्ज हुई  आप सांसद संजय सिंह पर एक और FIR, ट्वीट कर बोले 'सभी थानों में मुकदमा लिखवा दो, लेकिन ब्राह्मणों,दलितों,पिछड़ों का मुद्दा उठाएंगे. @AAPUttarPradesh @AamAadmiParty @SanjayAzadSln #5Baje5Minutes #policemedianews",non-hostile
695,भारत-चीन सीमा तनाव पर चीन में किस बात पर चर्चा है? https://t.co/9x6OLktLlU,non-hostile
696,"यूपी में कोरोना से 71 और मरीजों की मौत, प्रदेश में ढाई लाख से ज्यादा मामले

#Corona #COVID19 

https://t.co/Adrkh9LAbJ",non-hostile
697,"जेल पर नई रिपोर्ट: देश में सबसे ज्यादा दलित और मुसलमान कैदी यूपी में और आदिवासी मध्य प्रदेश की जेलों में बंद हैं, कॉमन जेलों में भीड़, लेकिन महिला जेलें खाली https://t.co/wCer03QRxJ Jails @NCRBHQ @PIBHomeAffairs @HMOIndia @AmitShah @vartikananda @tinkatinkaorg1 @journalistibm https://t.co/Ucg46W6R1f",non-hostile
698,"उत्तर प्रदेश में भारतीय जनता पार्टी के नेतृत्व वाली सरकार के खिलाफ बोलने के लिए अभिसार शर्मा ने ग्रामीणों को पैसे बांटे हैं।
देखिए कांग्रेसी चमचे की करतूत ‘दल्ले’ अभिसार शर्मा पैसे बांटते समय तो कैमरा ऑफ कर लेता।

यूपी सरकार के ख़िलाफ़ बोलने के लिए पत्रकार अभिसार शर्मा ने ग्रामीण को रिश्वत दी


",fake
699,"मैं भारतीय संस्कृति का बहुत बड़ा प्रशंसक हूँ इसलिए मैंने हमारी गृह मंत्री के साथ अपने निवास पर 5 अगस्त को श्री राम अभिषेक किया

",fake
700,"अनुच्छेद 370 की समाप्ति के बाद नया लद्दाख।
#OneYearOfNoArticle370 https://t.co/165xPJWmd4",non-hostile
701,रिलायंस इंडस्ट्री ने दुनिया की मशहूर टॉय कंपनी ‘हेमले’ को खरीदा है। और यह बात मीडिया ने देश से छुपाई है। पीएम मोदी और रिलायंस इंडस्ट्री के मालिक मुकेश अंबानी की फोटो है।,fake
702,@ArvindKejriwal इसने तो ब्लड डोनेट करके कोरोना ठीक करने की दावा कर रही थी मैं उस समय आप लोग को समझाए यह सब पैसा और भ्रष्टाचार के जरिए अफसर बना इस सब के पास अक्ल और दिमाग नाम की चीज नहीं,"defamation,hate"
703,कैथल के उपायुक्त सुजान सिंह ने बताया कि सुभाषचंद्र बोस आपदा प्रबंधन पुरस्कार हेतु 30 सितंबर तक आवेदन स्वीकार किए जाएंगे। सरकार ने आपदा प्रबंधन के क्षेत्र में व्यक्तियों और संस्थानों के उत्कृष्ट कार्यों को मान्यता देने के लिए सुभाषचंद्र बोस आपदा प्रबंधन पुरस्कार की स्थापना की है। https://t.co/Aeg6GtSnPu,non-hostile
704,रूस ने वैक्सीन से जुड़ा डेटा भारत से साझा किया -प्रेस रिव्यू https://t.co/q1z90REufm,non-hostile
705,"सुशांत सिंह राजपूत मामले में नया मोड़, रिया की ड्रग चैट को लेकर गोवा के होटल व्यवसायी से होगी पूछताछ
#SushantSingRajputDeathCase #GauravArya #RheaChakraborty 
https://t.co/UQHv6LIODF",non-hostile
706,एक नजर कल के मौसम के पूर्वानुमान पर https://t.co/kqSlyae8qn,non-hostile
707,"IPL 2020: बीसीसीआई ने CRED को IPL का ऑफिशियल पार्टनर किया घोषित
@BCCI @CRED_club #IPL2020 
https://t.co/uPTJCM28Y3",non-hostile
708,फज ने सुशांत की मौत के बाद खाना-पीना बंद कर दिया था।,fake
709,"नोएडा में पांच हजार से ज्यादा फैक्ट्रियां बंद होने की कगार पर, सबसे ज्यादा असर गारमेंट और इलेक्ट्रॉनिक्स सामान बनाने वाली फैक्ट्रियों पर
https://t.co/q28oXBdvRB",non-hostile
710,"RT @Komal_433: रिया चक्रवर्ती को सुशांत से जोड़ा है 

तो त्यागी जी की भी मौत पर #पात्रा भी फँस सकते हैं?",offensive
711,"कुर्सी पर जो बैठा है , बुजदिल है फौलाद नहीं ,

युवाओं का दर्द वो क्या जाने जिसकी कोई औलाद नहीं..",hate
712,@RahulGandhi कांग्रेस के राज में तो जैसे सब को कलेक्टर बना दिया थे साला झूठा,offensive
713,"नवजात शिशुओं की आवश्यक देखभाल और उनमें होने वाली जटिल बीमारियों की रोकथाम के लिए होम बेस्ड न्यूबोर्न केयर (HBNC) का संचालन किया जा रहा है।

#PoshanMaah2020 #Local4Poshan https://t.co/bhR75tpV6L",non-hostile
714,"#BREAKING | सुशांत के बिजनेस पार्टनर को समन जारी, वरुण माथुर को ED ने जारी किया समन

देखिए रिपब्लिक भारत पर #LIVE :  
https://t.co/G945HvzM0Z https://t.co/BBvpqrJiz0",non-hostile
715,@Paramanand772k हाँ मित्र एक कमीनी मेरी जिन्दगी की वाटट लगाती  है😐😐,offensive
716,"#BREAKING - #pratapgarh SP
अनुराग आर्य की बड़ी कारवाई, बाघराय थाने के आरक्षी हरिश्चंद्र बिंद और गुरवेंद्र के खिलाफ मुकदमा दर्ज, दोनो सिपाही निलंबित, दरोगा संतोष यादव निलंबित, प्रभारी निरीक्षक रविन्द्र सिंह यादव लाइन हाजिर, @pratapgarhpol @PratapGarhSP #BreakingNews",non-hostile
717,"#IndiaFightsCorona

आइये, बुनियादी सुरक्षात्मक उपायों का पालन करने का अपने आप से वादा करें और दूसरों को भी इसके लिए प्रोत्साहित करें। बदलकर अपना व्यवहार, करें कोरोना पर वार। 

#TogetherAgainstCovid19 https://t.co/JLlSeO5i9C",non-hostile
718,"हाई कोर्ट के आदेश के बावजूद डॉ. कफील को नहीं किया गया रिहा, परिवार ने लगाए कई आरोप
https://t.co/vShns5dwCf via @NavbharatTimes",non-hostile
719,@Sabir51861509 पुलिस आपके लिए नहीं बनी है न्यायपालिका आपके लिए नहीं बनी है पूरे भारत के पुलिस 10%लोगों के लिए काम करती है पूरे भारत की न्यायपालिका 10%के लिए काम करती है उसकी अपराध को बचाने में के लिए काम करती है 90%को लूटने फंसा कर बर्बाद करती है90%कमाई की जरिया है पुलिस की न्यायपालिका की,hate
720,हरियाणा के बहादुर लाल शहीद दीवान चंद जी की शहादत को अश्रुपूर्ण श्रद्धांजलि। https://t.co/03ji91CWGo,non-hostile
721,"झांसे वाली रानी से तो केवल 70 साल का नवजवान ही सेटिंग कर सकता है,
उसका  मोटी  से प्यार कम मिल रहा था आज कल😂😂😂
@nishasinghji",defamation
722,"सुप्रीम कोर्ट का चिन्ह बदल गया....
‘सत्यमेव जयते’ की जगह.(यतो धर्मस्ततो जय:) 
सारे सेक्टर प्राइवेट धीरे-धीरे कर रहें।
युवा लोग ट्रेन से कूदकर अत्महत्या कर रहें है क्योंकि उनके पास रोजग़ार नहीँ।।
सरकार काम कुछ नहीं कर रही ह केवल वादे करती है।। जागो जनता।। https://pic.twitter.com/AHLoYnmAAr",fake
723,"ऐ मेरे वतन के तलवा चाटने वाला चमचो😆 जरा हाथ में भर लो पानी. 
😂
फिर नाक👃 डुबालो अपनी और दे दो तुम कुर्बानी.","defamation,hate"
724,"धारा-188 के तहत 2,12,963 लोगों के विरुद्ध एफआईआर दर्ज की गई। प्रदेश में अब तक 1,40,63,807 वाहनों की सघन चेकिंग में 70,417 वाहन सीज किए गए। चेकिंग अभियान के दौरान ₹72,58,76,509 का शमन शुल्क वसूल किया गया: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी",non-hostile
725,"आनंदै आनंद बढ्यौ अति।
देवनि दिवि दुंदुभी बजाई,
सुनि मथुरा प्रगटे जादवपति।
बरषत सुमन सुदेस सूर सुर,
जय-जयकार करत,मानत रति।

श्री बांके बिहारी जी का पावन अवतरण पर्व 'श्रीकृष्ण जन्माष्टमी' आप सभी के जीवन को सफलता एवं समृद्धि से अभिसिंचित करे।

प्रभु अवतरण की सभी को बधाई-मंगलकामनाएं! https://t.co/eBvoT6rI7S",non-hostile
726,"यूपीः मथुरा में सरकारी बस कंडक्टर से लूट, बदमाशों ने लूटे 43 हजार रुपये

#UP #YogiAdityanath

https://t.co/IrfIrkn9tU",non-hostile
727,राम जन्मभूमि पर फैसला सुनाने वाले पूर्व चीफ जस्टिस रंजन गोगोई कोरोना संक्रमित हो गए हैं।,fake
728,पिछले वर्ष 1 माह के लिए परिसंघ का फ़ेस्बुक बंद उस समय हुआ जब रैली का आयोजन था।बहुत कोशिश किया fb के हेड अंखी दास से बात करने की लेकिन असफल। अब पता चला कि भाजपा नेता रवि शंकर प्रसाद जैसे लोगों से मिलती हैं।वॉल स्ट्रीट जर्नल का धन्यवादी हूँ कि fb की पक्षता का पर्दाफ़ाश किया। https://t.co/P4w5TynVzI,non-hostile
729,"एक और #देशद्रोही मिला।

गुजरात से नकली नोटों का भंडार पकड़ा गया
और ईमानदार #संघ_समर्थक_श्री_केतन_दवे की कार से मिला ये नकली नोटो का जखीरा।

इनसे बड़ा भी कोई देशद्रोह हो सकता है क्या?

ये तो देश की अर्थवयवस्था को ही निगल रहे थे, इनको क्या सजा मिलनी चाहिए?","defamation,hate"
730,"सुप्रीम कोर्ट का चिन्ह बदल गया....
‘सत्यमेव जयते’ की जगह..
।।यतो धर्मस्ततो जय: ।।",fake
731,कृप्या हैदराबाद के वर्तमान निज़ाम को सुनें और सुने ओवेसी भाइयों और कम्युनिस्टों के बारे में उनकी राय।,fake
732,"VIDEO: AK-47 203 राइफल, 1 मिनट में दागती है 600 गोलियां
https://t.co/WKOwbFcGaG
#AK47203 #Rifle https://t.co/9PBwq1WFav",non-hostile
733,"लद्दाख विवाद पर बोले डोनाल्ड ट्रंप : भारत-चीन के बीच सीमा को लेकर हालात बहुत गंभीर, हम मदद को तैयार
https://t.co/MXpUGb5rj9",non-hostile
734,"#RescueIndiaFromBJP
कांग्रेस के कुत्तों ने एक नारा दिया था इंदिरा ही इंडिया","defamation,offensive"
735,@ChandreshBaudd1 मैं अपनी नंबर किसी को नहीं दी हूं भक्तों की सत्ता है वह कहीं से भी आपकी नंबर निकाल लेगा,"fake,offensive"
736,"फलस्तिनियो पर लगातार बढ़ते ज़ुल्म की एक वज़ह अकवाम ए मुत्तहेदा कि खामोशी भी है, 
यही हाल कश्मीर का भी है,सब अपने अपने मशगले मे मस्त है,अगर आप पावर में हैं तब भी इन मजलूमीन के साथ खड़े होकर इनके लिए आवाज़ नही उठा रहे तो यकीनन इसका शोला आप तक भी जा सकता है।",hate
737,"#ReportForSSR | CBI के सामने पिठानी का कबुलनामा, ‘दिशा की मौत से चिंता में डूब गए थे सुशांत, मुझे अपने कमरे में सोने को बोला’ 
 https://t.co/7R5DpDKD0y",non-hostile
738,"वैश्विक खेल जगत में भारतीय स्वाभिमान के प्रतीक, हॉकी स्पर्धा के विभिन्न विश्व विजयी अभियानों के शिल्पकार, विश्व हॉकी के सार्वकालिक महान खिलाड़ी, पद्म भूषण 'मेजर ध्यानचंद जी' को उनकी जयंती पर कृतज्ञतापूर्ण नमन।

आपकी खेल प्रतिभा, आपकी राष्ट्रभक्ति भारतीयों के लिए प्रेरणास्पद है।",non-hostile
739,"1 करोड़ 89 लाख नौकरियां अप्रैल से अबतक  जा चुकी हैं  &amp;जुलाई अकेले में 50 लाख । संतोष रखें सब ठीक होगा।निराश ज्यादा हों  तो मोदी जी का भाषण सुन लें या किसी भक्त से संपर्क करें वो 100 फायदा बता देगा।
@INCIndia",non-hostile
740,"हिंदुस्तान में हिन्दू सन्तों की निर्मम हत्यापर यदि आप कुछ नही बोलसकते तो बाहर रहरहे अल्पसंख्यक हिंदुओं को तो फिर कोई हक ही नहीबनता अपने ऊपर हो रहे अत्याचारोपर कुछ बोलने का।शुरुआत अपने घर,देश से कीजिये।",hate
741,"महिलाओं को समर्पित डीडी न्यूज़ के विशेष कार्यक्रम 'तेजस्विनी' में लद्दाख की पहली महिला डॉक्टर डॉ. सेरिंग लाहडोल के साथ खास मुलाकात

➡️https://t.co/wFSYPPgYTO https://t.co/B84K9jN12w",non-hostile
742,@KaushaleshDube3 कश्मीर में मैं 10 साल रही हूं आप मुझे रहने की बात मत समझाइए,offensive
743,"ज्यादा परेशान ना होइए फ्री में अकाउंट में पैसे लिए है वह भी तब,  कि जब सरकार के पास धेले का भी टैक्स कलेक्शन नहीं हो रहा था  अब जीडीपी के लिए बिलबिला रहे हो , एक साथ दोनों कैसे चलेंगे बे",fake
744,आरबीआई ने गूगल पे पर किए गए भुगतानों को असुरक्षित बताया है।,fake
745,"अजीब इक्तफाक है? 😆😆

👉 धुतरास्ट्र के पास संजय 
👉 काँग्रेस के पास संजय निरूपम 
👉 केजरीवाल के पास संजय सिंह
👉 शिवसेना के पाससंजय राऊत",defamation
746,शेयर करे और देखे केजरीवाल उर्फ़ केजरुद्दीन जो दिल्ली को किस तरह स्व पाकिस्तान बनाना चाह रहे है सब आपके सामने है उनके विधायको की पहली लिस्ट,fake
747,"यह वीडियो कहां का है इसकी ठोस जानकारी नहीं है फिर भी यह वीडियो देख कर दिल दहल जाता है
B.j.p. विधायक अनिल उपाध्याय की इस हरकत पर क्या कहेगे मोदी जी,
 इस video को इतना वायरल करो की ये  पूरा हिन्दुस्तान देख सके..दलित पिछड़े अलीशान कार में नहीं घूम नहीं सकते हैं","defamation,fake,hate"
748,"ये कौन सा आसन सिखा रहा है बे। लड़़कियों से प्रेम दिखाने के और सम्मान देने के भी एटीकेट्स होते हैं। महिला के गले में माला नहीं पहनाया जाता हाथ मे दिया जाता है सम्मान करते समय।

",fake
749,शेर को कितना भी पिंजरे में रख ले शेर शेर होगा कुत्ता को कितना भी सुरक्षा के साथ ताजमहल में रख ले कुत्ता कुत्ता होगा समझ में आया तो  अंधभक्त https://t.co/aRsHhYKDQO,offensive
750,"15 जून से फिर से हो सकता है सम्पूर्ण लॉकडाउन, गृह मंत्रालय ने दिए संकेत।",fake
751,"#BREAKING on #ReportForSSR | NCB की पूछताछ में 2 ड्रग डीलर्स ने रिया चक्रवर्ती के भाई शौविक का नाम लिया

देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर LIVE : https://t.co/G945HvRmSx https://t.co/WMpo4R9WvF",non-hostile
752,@kanhaiyakumar ये कन्हैया कुमार साला कुत्ता का कुत्ता ही रहा चुटिया साला,offensive
753,"दिल्ली हाईकोर्ट ने सुदर्शन न्यूज़ चैनल के विवादित शो के प्रसारण पर रोक लगा दी है. जामिया मिल्लिया इस्लामिया के कुछ वर्तमान और पूर्व छात्रों ने इसके ख़िलाफ कोर्ट में याचिका लगाई थी.

https://t.co/zuttDZCWQc",non-hostile
754,अमिताभ बच्चन असिम्प्टोटिक हैं।,fake
755,#JammuKashmir के बारामूला इलाक़े में ग्रेनेड अटैक में 6 नागरिक घायल; आतंकियों ने सेना के वाहन पर फेंके थे ग्रेनेड; सड़क पर फटे ग्रेनेड; सुरक्षाबलों ने इलाक़े को घेरा https://t.co/o8AyYraALX,non-hostile
756,"इस संदर्भ में शैक्षिक रूप से सुदृढ़, मल्टी-डिसिप्लिनरी और इंटीग्रेटेड टीचर्स एजुकेशन कार्यक्रम शुरू करने का प्रावधान है। वर्ष 2030 तक इस क्षेत्र में केवल उच्च स्तरीय संस्थान ही सक्रिय रह जाएंगे।",non-hostile
757,"तेरी बढ़ी हुई दाढ़ी के सदके हज़ार होंगे....नंगे, भूखे, बेरोज़गार, तंगहाल और बीमार होंगे... 

रहेगा खौफ़ फ़िज़ाओं में बर्बादी को देखकर,..तेरी ज़ुबान पर फिर भी झूट शानदार होंगे... 😷😷😷
✍️ @imtarik89",hate
758,"उन्होंने कहा कि बाजार सुबह 09 बजे से रात्रि 09 बजे तक खुलें। अब मुख्यमंत्री जी ने आदेश दिए हैं कि प्रदेश में शनिवार को बंदी नहीं रहेगी। अब शनिवार को रात्रि 12 बजे से रविवार को रात्रि 12 बजे तक पूर्ण रूप से बंदी रहेगी: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी",non-hostile
759,"भारत-चीन विवाद पर विदेश मंत्रालय का बयान, अपने सैनिकों को नियंत्रण रखें चीन https://t.co/dg7rCwr0ea",non-hostile
760,@laluprasadrjd बिहार में भ्रष्टाचार से बिहार के नागरिक दुखी आवासीय बनाने के लिए 100 रुपया घूस लग जाती है यह मुद्दा  आपके पार्टी को नहीं दिख रही है न्यायपालिका में जज के बगल में बैठे व्यक्ति जज के  सामने घुस लेती है !भ्रष्टाचार शिक्षा स्वास्थ्य यही 3 मुद्दा आपको सत्ता में पहुंचा देगी,hate
761,"अल्फ़ा टौरी के पियरे गैस्‍ली ने 2020 का इटालियन ग्रां प्री रेसिंग का खिताब जीत लिया। मैकलारेन के कार्लोस सैंज दूसरे स्थान पर रहे। रेसिंग प्वाइंट के लांस स्ट्रॉल ने तीसरा स्थान हासिल किया। 

#ItalianGP | #ItalianGrandPrix https://t.co/Dg7Q6lFLF8",non-hostile
762,"उत्तर प्रदेश का गोरखपुर. यहां सातवीं में पढ़ने वाली  छात्रा का 30 जुलाई को रेप हुआ था. छात्रा ने स्कूल के प्रबंधक पर रेप का आरोप लगाया था. घटना के बाद से आरोपी फरार चल रहा था. अब पुलिस ने   आरोपी को गिरफ्तार कर लिया है. 
https://t.co/Xd0rlUlwZb",non-hostile
763,"@Anushkashukla0 महेश भट्ट से कमीना व्यक्ति मैंने आजतक कहीं नहीं देखा, साला अपनी बेटी को भी गलत नजर से देखता है।","defamation,offensive"
764,फेक न्यूज़ एक्सपोज़: क्या रेलवे की 7 फैक्ट्रियां बेचकर 3.5 लाख कर्मचारियों को नौकरी से निकाल रही है मोदी सरकार ? https://t.co/b2Qtv9k59J #NoFakeNews #FactCheck #IndianRailways @RailMinIndia @PiyushGoyal @PMOIndia,non-hostile
765,"कोरोना महामारी तोड़ रहा भारत और नेपाल के रिश्तों की डोर, 60 से अधिक शादियां टलीं  

#IndiaNepal 

https://t.co/CNKkvIOCKt",non-hostile
766,"कुछ गेमर्स ने तो गेम खेलने को ही रोजगार का जरिया बना रखा है. मतलब कि गेम खेलना ही फुल टाइम जॉब है. इनको प्रोफेशनल गेमर्स कहा जाता है. आपको हम यही बताने वाले हैं कि गेमर्स पैसा कैसे कमाते हैं.
@itsmeFSL 
https://t.co/OHjkMJAYO1",non-hostile
767,भारत में हर कोई बिकाऊ है खरीददार पैसा वाला होनी चाहिए चीफ जस्टिस खरीद लीजिए नेता मंत्री प्रधानमंत्री अधिकारी खरीद लीजिए आपके पास कीमत देने के लिए उचित रकम होनी चाहिए इन गद्दारों को सिर्फ पैसे से इंद्र की तरह जिंदगी जीना जानते हैं परियों के साथ ना तो देश से मतलब ना नागरिक से,"defamation,offensive"
768,20 साल से जनता के भरोसे पर कायम है आजतक। खबर मतलब सिर्फ आजतक। #Promo #AajTakNo1 https://t.co/vc6dVdOZs1,non-hostile
769,"सोशल डिस्टेंसिंग का पालन नहीं किया तो मेट्रो नहीं रुकेगी, जानें जरूरी बातें  https://t.co/K237DGnGmS via @NavbharatTimes 
#DelhiMetro Metro https://t.co/YSZeOOJbnM",non-hostile
770,उपमुख्यमंत्री @Dchautala  ने कहा कि हरियाणा देश का ऐसा पहला राज्य होगा जो अपनी नई उद्योग नीति में ऐरो-स्पेस और एविएशन को भी थ्रस्ट-सेक्टर के तौर पर फोकस करेगा। https://t.co/VSGHldAeAu,non-hostile
771,"जानिए मौसम का हालः यूपी में हुई हल्की बारिश, दिल्ली में मौसम रहा गर्म

#Weather #Delhi 

https://t.co/zgpE2DWxCr",non-hostile
772,"आमिर खान ने कहा था मेरी पत्नी किरण को देश में डर लगता है

तो उन्हें पाकिस्तान जाने का वीजा दे दिया

लेकिन कंगना ने मुंबई को POK कहा
किसी के सर पर जूं तक नहीं रेंगी

मुंबई भारत का हिस्सा नहीं है क्या?",defamation
773,इजरायल के प्रधानमंत्री बेंजामिन नेतन्याहू ने भारत-चीन विवाद में भारत के प्रधानमंत्री नरेंद्र मोदी के समर्थन में ट्वीट किया है।,fake
774,@shaktisinhgohil @Saifullahk12 ना आपके कहने से फेसबुक गलत होगी ना बीजेपी की कहने से गलत हो आम जनता के लिए फेसबुक सही रहे आम जनता की मुद्दा में सहयोग फेसबुक करें बस किसी पार्टी की सहयोग के लिए  खड़ा ना दिखे,defamation
775,"चीन परमाणु हथियारों के भंडार को बढ़ाने की योजना बना रहा है: पेंटागन
https://t.co/3VgSbkXyem",non-hostile
776,"सुशांत सिंह राजपूत मामले में सीबीआई 
 सच्चाई सामने लेकर आएगी: राजनीतिक विश्लेषक विशाल मिश्रा ने राजनीतिक विश्लेषक विनोद सिंह से कहा

देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर LIVE : https://t.co/G945HvRmSx https://t.co/77Xf9udTOA",non-hostile
777,"ट्रिनबागो नाइटराइडर्स ने लगाया जीत का 'परफेक्‍ट 10', आंद्रे रसेल खाता भी नहीं खोल सके -
#CPL2020

https://t.co/PUVYgzcwAe",non-hostile
778,"#Saharanpur 4 दिन पूर्व युवक की हत्या का मामला, 5 आरोपियों को गिरफ्तार कर जेल भेजा, दौड़ लगाने को लेकर हुई कहासुनी में हत्या, दोस्तों ने चाकू से गोदकर हत्या की था, नकुड़ थाने में गांव चापरचीडी का मामला। @saharanpurpol @Uppolice #policemedianews",non-hostile
779,"बहन @shwetasinghkirt  ने एक लंबा पोस्‍ट लिखकर सुशांत से वादा किया है कि वह उन्‍हें न्‍याय दिलाकर रहेंगी -
#SSRDeathCase 

https://t.co/o4LOF6tXQB",non-hostile
780,"GDP में आई 23.9% की गिरावट पर बोले शत्रुघ्न सिन्हा- दुआ करता हूं कि इसे Act Of God न कहा जाए... | #GDP
https://t.co/C1V4qUuUoL",non-hostile
781,"यूपी: कानपुर में दंपति ने फांसी लगाकर दी जान, लॉकडाउन में छूट गई थी नौकरी

https://t.co/ckkUUsfVbm",non-hostile
782,"@SauravKumae2 @SushantBSinha साले दिन हो या रात कभी भी आउल गांडी का मुत पी के नशे में रहता है क्या, साले 2 रू का आदमी नहीं है, ज्ञान की बात करेगा।।",offensive
783,"#SushantSinghRajputCase | क्या ड्रग पैडलर से है रिया के भाई शोविक का कोई रिश्ता?
#Vishesh, @chitraaum के साथ : https://t.co/DsL3m5MdlB https://t.co/6V8vbHWfsB",non-hostile
784,"क्या सुशांत की हत्या के समय बिजनेस डील की बात, हत्या के सच को छिपाने के लिए की गई? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर #LIVE : https://t.co/G945HvzM0Z https://t.co/RYKucBF3KQ",non-hostile
785,@Rofl_Swara ओर तुम जेसी कुतिया को कोई हड्डिया नही डाल रहा,offensive
786,"हत्यारों को भीड़ के हाथों से छुडवा ले गए सीओ, पूर्व विधायक की पत्नी,बहु की पिटाई की थी, जमीन कब्जे के लिए पहुंचे थे 50 गुंडे, पूर्व विधायक हत्याकांड में सीओ पर आरोप, सीओ पलिया के खिलाफ मिश्रा परिवार FIR और गिरफ्तारी कर रहा है मांग। #SundayMotivation #UttarPradesh #policemedianews",non-hostile
787,"मुंबई में समाजवादी पार्टी का नेता अबु आजमी जा रहा है ओर समर्थन में लग रहे हैं पाकिस्तान जिंदाबाद के नारे , अब अगर मुल्लों को ठोका जाये तो क्या ग़लत हैं ? @AmitShah @BJP4India @AUThackeray",hate
788,जीडीपी खाने से पेट नहीं भरा क्या  टिक्की से ज्यादा चटपटी थी जीडीपी हमारी पूरा चट कर गये 😡 https://t.co/vjeCe0BR3R,offensive
789,"लात के भूत बात से नहीं मानते। चीनियों का इलाज इंडियन आर्मी ही करेगी जैसे को तैसा वाली पद्धति से।
#IndiaStandWithIndianArmy 
#IndiaChinaFaceOff 
#IndiaChinaStandoff",offensive
790,नोएडा से बीजेपी के विधायक और रक्षा मंत्री राजनाथ सिंह के बेटे पंकज सिंह कोरोना संक्रमित पाए गए हैं #COVID19 #CoronavirusPandemic  https://t.co/JHlLTNUwwp,non-hostile
791,#शाहीन बाग में धरने पर बैठी 1300 महिलाएं गर्भवती हुई ये सब धरने पर बैठी थी या आबादी बढ़ाओ मुहिम पर🤣🤣👇,"defamation,offensive"
792,"संसद के बहार ममता बनर्जी के सामने जय श्री राम के नारे लगाए गए
",fake
793,@INCIndia हरामखोरो चोर था । सत्ता का लालची भी था । इसके सामने सरदार वल्लभ भाई पटेल बहुमत से जीते थी। इसने गांधी को बोलके खुद पीएम बन गया । नल्ला साला 😡,"fake,hate"
794,"भारत का सबसे बड़ा नेहरू था,
कितने लोग मानते हैं 🤔❓",offensive
795,"Xiaomi का पोछा लगाने वाले डिवाइस मिलने में अभी होगी देरी
https://t.co/eRovIhNwss",non-hostile
796,"#Mumbai #सुशांत_सिंह_राजपूत केस मामला, #CBI टीम सुशांत के बांद्रा आवास पहुंची, CBI के साथ सुशांत की बहन मीतू सिंह, क्राइम सीन रिक्रिएट कर सकती है CBI, फॉरेंसिक टीम भी सुशांत के घर पहुंची, सिद्धार्थ पिठानी, नीरज,केशव साथ मौजूद. #CBISummonSandipNow #policemedianews",non-hostile
797,बीआरडी मेडिकल कॉलेज गोरखपुर में... https://t.co/tFkE4yH819,non-hostile
798,"न बुज़ुर्गों क़े ख्वाबों की ताबीर हूँ 
ना मैँ जन्नत सी अब कोई तस्वीर हूँ

जिसको मिलकर क़े सदियों से लूटा गया 
मैँ वो उजड़ी हुई एक जागीर हूँ 

हाँ मै कश्मीर हूँ__हाँ मै कश्मीर हूँ 
हॉं मैं कश्मीर हूँ__हॉं मैं कश्मीर हूँ !....
@BushraAnjum_ @Sumra_tweets",defamation
799,"@SauravKumae2 @SushantBSinha भोसड़ी  के  सही  बात  को  कहने वाले  को 
दल्ला  बोलता  है  हरामखोर  कटुआ  साला","hate,offensive"
800,"जब किसी भी सिस्टम में इतने व्यापक बदलाव होते हैं, तो कुछ शंकाएं-आशंकाएं स्वाभाविक ही हैं।

माता-पिता को लगता होगा कि अगर इतनी आज़ादी बच्चों को मिलेगी, अगर Stream खत्म हो जाएंगी तो आगे कॉलेज में उनको दाखिला कैसे मिलेगा,  करियर का क्या होगा?: PM",non-hostile
